Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
,MACALESTER CAMPUS,12/31/2019,11:59 PM,"2019-RL-DRUG/ALC-ON 
CAM RES H","Clery Statistics Reported by Residential Life-Alcohol Drug Offenses/Referred for Disciplinary Action/On Campus Student 
Housing.",1/1/2019 12:01 AM and 12/31/2019 11:59 PM,124,CLOSED
THREATS,MACALESTER CAMPUS,12/31/2019,12:28 PM,MAC-19-0821,Public Safety was notified that Mac Funds received a threat via text message.,12/31/2019 12:28 PM and 12/31/2019 12:28 PM,,CLOSED
SEX OFFENSE: FONDLING,HOUSING AND RESIDENCE HALL,12/19/2019,12:00 PM,2019-TIX-03,sexual assault (fondling); on-campus/housing,12/19/2019 12:00 PM and 12/19/2019 12:00 PM,129,CLOSED
THREATS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : 77 MAC,12/17/2019,10:07 AM,MAC-19-0802,Domestic threat complaint,12/17/2019 10:07 AM and 12/17/2019 10:07 AM,,CLOSED
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : PARKING : SOUTH PARKING,12/13/2019,10:55 AM,MAC-19-0793,Public Safety responded to a motor vehicle crash in the West 1 lot.,12/13/2019 10:55 AM and 12/13/2019 01:00 PM,,CLOSED
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : SOUTH PARKING,12/13/2019,10:55 AM,MAC-19-0793,Public Safety responded to a motor vehicle crash in the West 1 lot.,12/13/2019 10:55 AM and 12/13/2019 01:00 PM,,CLOSED
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : PARKING : WEST 2,12/11/2019,12:02 PM,MAC-19-0787,Public Safety was notified of accidental damage done to a vehicle during snow removal.,UNKNOWN and UNKNOWN,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,12/11/2019,08:49 AM,MAC-19-0786,Public Safety discovered the theft of bicycle parts,11/11/2019 05:18 PM and 11/11/2019 05:18 PM,,"REFERRED TO EMPLOYMENT 
SERVICES"
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING : WEST 1,12/6/2019,09:07 PM,MAC-19-0772,Public Safety was notified of a theft from auto.,12/6/2019 05:45 PM and 12/6/2019 09:07 PM,,REFERRED TO OTHER AGENCY
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING : WEST 1,12/6/2019,08:15 PM,MAC-19-0771,Public Safety was notified of a theft from auto,12/6/2019 08:37 PM and 12/6/2019 10:00 PM,,REFERRED TO OTHER AGENCY
THREATS : NON-TERRORISTIC,OFF CAMPUS (NON-CLERY),12/6/2019,01:00 PM,MAC-19-0780,Public Safety was made aware of a telephonic threat toward the college.,12/6/2019 01:00 PM and 12/6/2019 02:07 PM,,PENDING
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES : MARVIN PLAZA,12/6/2019,07:15 AM,MAC-19-0767,Public Safety responded to a report of graffiti on the exterior of an academic building.,12/6/2019 07:15 AM and 12/6/2019 07:30 AM,,CLOSED
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : SOUTH PARKING,12/5/2019,11:55 AM,MAC-19-0765,Public Safety received a report of a damaged Macalester van.,12/5/2019 11:55 AM and 12/5/2019 11:55 AM,,PENDING
