Crime,Count
,9
THREATS,6
SEX OFFENSE: FONDLING,3
DAMAGE TO PROPERTY : ACCIDENTAL,18
MOTOR VEHICLE CRASH,45
THEFT : BICYCLE : PARTS,21
THEFT : FROM MOTOR VEHICLE,29
THREATS : NON-TERRORISTIC,1
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,75
THEFT,43
ROBBERY,3
THEFT : BICYCLE,93
INFORMATION ONLY,28
LOITERING,23
TRESPASS : CRIMINAL ARREST,2
DISBTURBANCE : VERBAL,12
GRAFFITI (NON-CRIMINAL),30
FRAUD,13
DISBTURBANCE,6
BIAS/HATE INCIDENT : SEXUAL ORIENTATION,1
SEX OFFENSE: RAPE,12
DAMAGE TO PROPERTY : CRIMINAL,18
SEXUAL ASSAULT : FONDLING,3
DAMAGE TO PROPERTY,42
HARASSMENT,20
FRAUD : FINANCIAL TRANSACTION CARD,9
THEFT : FROM BUILDING/STRUCTURE,23
THEFT : LARCENY,3
BURGLARY,30
DISBTURBANCE : GROUP,5
COUNTERFEITING,1
THREATS : TERRORISTIC,3
BIAS/HATE INCIDENT,1
MISSING PERSON : PERSON,3
THEFT : MOTOR VEHICLE THEFT,12
BIAS/HATE INCIDENT (Count 1),1
BIAS/HATE INCIDENT (Count 2),1
FIRE : ARSON,1
DANGEROUS WEAPONS,3
OFFENSIVE ACTION : ELECTRONIC COMMUNICATIONS,2
MOTOR VEHICLE THEFT,6
FIRE : SMOKE,6
THEFT : FROM PERSON,2
THEFT : MOTOR VEHICLE PARTS,26
ASSIST : VEHICLE LOCKOUT,9
ASSIST : VEHICLE START,24
FIRE : TAMPERING-FIRE SAFETY EQUIPMENT,1
ROBBERY : AGGRAVATED,4
INAPPROPRIATE COMMUNICATIONS : ELECTRONIC,2
OFFENSIVE ACTION : WRITING/DRAWING,3
BIAS/HATE : INCIDENT : RACE,2
INAPPROPRIATE COMMUNICATIONS,2
THEFT : INCLUDING ATTEMPTS,7
FIRE : BUILDING,1
FIRE,2
THEFT : BICYCLE (Count 1),1
THEFT : BICYCLE (Count 2),1
THEFT : BICYCLE (Count 3),1
BIAS/HATE : INCIDENT,1
HARASSMENT : SEXUAL,1
HARASSMENT : OBSCENE OR HARASSING TELEPHONE CALLS,5
SEXUAL ASSAULT : RAPE,3
STALKING,8
DATING VIOLENCE,2
FIRE : FALSE FIRE ALARM,6
ASSAULT,4
DOMESTIC VIOLENCE,2
BIAS INCIDENT : RELIGION,1
ACCESS,15
Stalking,3
ALARMS : FREEZER ALARM,1
BIAS INCIDENT,3
ASSAULT : WITH DANGEROUS WEAPONS,1
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM (Count 1),1
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM (Count 2),1
THEFT : BICYCLE : PARTS (Count 1),2
THEFT : BICYCLE : PARTS (Count 2),2
TRESPASS,2
INIMIDATION,1
EXTORTION,2
ASSAULT : AGGRAVATED ASSAULT,1
ORDER FOR PROTECTION : VIOLATION OF,2
MISSING PERSON : STUDENT,2
LEWD OR INDECENT CONDUCT,2
MAINTENANCE : ROUTINE,62
ALARMS : FIRE SYSTEM : SMOKE,17
ALARMS : FIRE SYSTEM : TROUBLE,73
PROPERTY : MISSING,26
WELFARE CHECK,61
SUSPICIOUS ACTIVITY,32
PROPERTY : FOUND,40
ALARMS : EMERGENCY ALARM,23
MAINTENANCE : EMERGENCY,30
MAINTENANCE ELEVATOR : OUT OF SERVICE,14
ALARMS : AED CABINET,8
MAINTENANCE,9
ASSIST : COLLEGE STUDENT,38
ASSIST : COLLEGE EMPLOYEE,22
PROPERTY : RECOVERED,16
ALARMS,6
ASSIST : COLLEGE INVESTIGATION,2
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY",13
MEDICAL EMERGENCY : INURY,11
SUSPICIOUS ACTIVITY : PERSON,66
ALARMS : FIRE SYSTEM,6
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.15 TOBACCO USE,2
MEDICAL EMERGENCY : INTOXICATED PERSON,7
INAPPROPRIATE COMMUNICATIONS : VERBAL,1
MEDICAL EMERGENCY,8
MEDICAL EMERGENCY : ILLNESS,17
ALARMS : MECHANICAL,17
SUSPICIOUS ACTIVITY : VEHICLE,14
COLLEGE POLICY VIOLATION,1
SUSPICIOUS ACTIVITY : UNSECURE AREA,72
