Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
SEXUAL ASSAULT : FONDLING,MACALESTER CAMPUS,12/31/2018,12:00 AM,MAC-19-0464,Reported by Title IX through statistics request,12/31/2018 12:00 AM and 12/31/2018 12:00 AM,,CLOSED
SEXUAL ASSAULT : RAPE,MACALESTER CAMPUS,12/31/2018,12:00 AM,MAC-19-0466,Reported by Title IX-Annual statistical request,12/31/2018 12:00 AM and 12/31/2018 12:00 AM,,CLOSED
STALKING,MACALESTER CAMPUS,12/31/2018,12:00 AM,MAC-19-0481,Stalking report from Confidential CSA,12/31/2018 12:00 AM and 12/31/2018 12:00 AM,,CLOSED
DATING VIOLENCE,MACALESTER CAMPUS,12/31/2018,12:00 AM,MAC-19-0559,Title IX Clery statistics,12/31/2018 12:00 AM and 12/31/2018 12:00 AM,,CLOSED
STALKING,MACALESTER CAMPUS,12/31/2018,12:00 AM,MAC-19-0560,Title IX statistical request,12/31/2018 12:00 AM and 12/31/2018 12:00 AM,,CLOSED
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,12/31/2018,12:00 AM,MAC-19-0479,"DRINKS AND FRUIT STOLEN FROM SCOTTY'S BY PERSONS FROM THE LOCAL COMMUNITY NOT ELIGIBLE FOR ENTRY INTO 
THE LEONARD CENTER",4/15/2019 06:00 PM and 4/15/2019 07:00 PM,,CLOSED
SEXUAL ASSAULT : RAPE,NON-CAMPUS (CLERY GEOGRAPHY),12/31/2018,12:00 AM,MAC-19-0465,Reported by Title IX-Annual statistical request,12/31/2018 12:00 AM and 12/31/2018 12:00 AM,,CLOSED
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING : MACALESTER PLYMOUTH UNITED CHURCH,12/24/2018,04:27 PM,MAC-18-0221,Security was notified of a theft from a motor vehicle,12/24/2018 11:00 AM and 12/24/2018 02:00 PM,,
THEFT,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : KIRK HALL,12/20/2018,11:00 AM,MAC-18-0218,Security as notified of a theft from a dorm room,12/19/2018 03:00 PM and 12/20/2019 10:15 AM,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,12/19/2018,10:02 AM,MAC-18-0216,Security discovered graffiti on a pillar,12/19/2018 10:02 AM and 12/19/2018 10:10 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,12/19/2018,10:00 AM,MAC-18-0214,Security observed a bike theft while reviewing security footage.,12/19/2018 04:54 AM and 12/19/2018 04:55 AM,,
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,12/18/2018,10:40 AM,MAC-18-0213,Graffiti in Doty and exterior Dupre stairwell door.,12/18/2018 10:40 AM and 12/18/2018 10:50 AM,,
FIRE : FALSE FIRE ALARM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,12/17/2018,10:35 PM,MAC-18-0209,SMOKE DETECTOR TRIGGERED FIRE ALARM,12/17/2018 10:34 PM and 12/17/2018 10:55 PM,,CLOSED
HARASSMENT,MACALESTER CAMPUS,12/17/2018,02:19 PM,MAC-18-0208,Security was alerted to threats being made to a student-party will be trespassed if they are found on campus.,12/17/2018 02:19 PM and 12/17/2018 02:19 PM,,CLOSED
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,12/17/2018,12:40 PM,MAC-18-0212,It was reported to security that several items were taken from an unattended back pack.,12/17/2018 10:40 AM and 12/17/2018 10:50 AM,,CLOSED
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,12/16/2018,01:03 AM,MAC-18-0207,security reported to theft call,12/16/2018 12:00 AM and 12/16/2018 01:20 AM,,CLOSED
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : EXTERIOR SPACES,12/13/2018,06:55 AM,MAC-18-0202,Security was notified of non-criminal graffiti written in the snow.,12/13/2018 06:55 AM and 12/13/2018 07:05 AM,,CLOSED
INFORMATION ONLY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,12/8/2018,09:25 PM,MAC-18-0194,"Access room 311 in Turk Hall, student locked himself out.",12/8/2018 09:15 PM and UNKNOWN,,CLOSED
INFORMATION ONLY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MUSIC BUILDING,12/8/2018,12:00 AM,MAC-18-0193,Meet with both American Security Officer establish I was on site and working.,12/8/2018 08:15 PM and UNKNOWN,,CLOSED
MOTOR VEHICLE CRASH,OFF CAMPUS (NON-CLERY),12/5/2018,02:34 PM,MAC-18-0191,Security was notified of a motor vehicle accident involving a Macalester College van.,12/4/2018 05:15 AM and 12/4/2018 05:30 AM,,CLOSED
HARASSMENT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,12/3/2018,08:55 PM,MAC-18-0186,Security was informed about threatened social media harassment.,12/3/2018 08:55 PM and 12/3/2018 09:05 PM,,CLOSED
THEFT,OFF CAMPUS (NON-CLERY),12/3/2018,06:34 PM,MAC-18-0185,Security was notified of theft of college property that occurred off campus.,12/3/2018 06:34 PM and 12/3/2018 06:34 PM,,CLOSED
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : EXTERIOR SPACES,12/3/2018,12:45 PM,MAC-18-0189,It was reported to security that a staff member had been involved in an accident with a cart.,12/3/2018 12:40 PM and 12/3/2018 12:50 PM,,
DISBTURBANCE : VERBAL,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,11/30/2018,08:25 AM,MAC-18-0174,Security responded to a suspicious person-encountered trespass violation,11/30/2018 08:25 AM and 11/30/2018 08:25 AM,,CLOSED
DAMAGE TO PROPERTY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,11/28/2018,12:22 PM,MAC-18-0171,It was reported to security that an unknown party(s) removed a poster from the window.,11/27/2018 04:00 PM and 11/27/2018 09:22 PM,,REFERRED TO OTHER DEPARTMENT
THEFT : MOTOR VEHICLE THEFT,PUBLIC PROPERTY-CLERY,11/23/2018,12:00 AM,MAC-19-0461,"St. Paul Police received a report of an auto theft within Clery Geography-Public Property Snelling Avenue and St. Clair (Reported 
through data practices request)",11/23/2018 12:00 AM and 11/23/2018 12:01 AM,,CLOSED
INFORMATION ONLY,MACALESTER CAMPUS,11/19/2018,11:22 AM,MAC-18-0152,Security received an online report.,11/19/2018 11:22 AM and 11/19/2018 11:22 AM,,
ASSAULT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JANET WALLACE FINE ARTS CENTER,11/17/2018,11:30 PM,MAC-18-0150,Security witnessed student assaulted by student,11/17/2018 11:30 PM and 11/17/2018 11:33 PM,,REFERRED TO OTHER DEPARTMENT
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,11/17/2018,01:00 PM,MAC-18-0144,"It was reported to Security that an unknown person had written racially targeted hate speech on a marker board on a resident's 
door.",11/14/2018 11:30 PM and 11/15/2018 12:00 PM,,REFERRED TO OTHER AGENCY
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,11/15/2018,03:00 PM,MAC-18-0142,It was reported to security that a jacket was taken from the locker room.,11/14/2018 03:00 PM and 11/14/2018 03:00 PM,,CLOSED
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : 63 MAC,11/14/2018,06:55 PM,MAC-18-0139,It was reported to security that an unknown party searched through a custodian's golf cart.,11/14/2018 06:50 PM and 11/14/2018 07:05 PM,,CLOSED
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLD MAIN,11/14/2018,05:00 PM,MAC-18-0141,Security was notified that a credit card and MN ID were taken.,11/14/2018 11:30 AM and 11/14/2018 01:30 PM,,REFERRED TO OTHER AGENCY
THEFT,OFF CAMPUS (NON-CLERY) : PUBLIC PROPERTY,11/14/2018,01:50 PM,MAC-18-0137,It was reported to security that a faculty member had lost their Macalester ID and keys off campus.,11/14/2018 01:50 PM and 11/14/2018 01:55 PM,,CLOSED
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLD MAIN,11/14/2018,01:45 PM,MAC-18-0138,It was reported to security that unknown parties had taken food from a refrigerator.,11/14/2018 10:00 AM and 11/14/2018 01:45 PM,,PENDING
